symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
2886.TW,MEGA FINANCIAL HOLDING CO,Taiwan,16596582.0,32.15,TWD,Financial Services,Banks—Regional,0.43756,0.50536,-19107133784.064,0.0065200003,0.08307999,0.06947999999999999,2159258959.8719997,0.15875999999999998,-0.196,2110128623.9999998,944803160.0639999,12021263106.047998,0.8839439999999998,20005742444.544,23.41,15740410134.527998,23724915425.28,16.658031,-0.328,13.978262,,7.2897277,1.3733448,10.988,0.29161,1.1969999999999998,0.972,1.1596499999999998,1.1597790239999999,0.048840806,5.7
2884.TW,E SUN FINANCIAL HOLDINGS,Taiwan,24252709.0,26.25,TWD,Financial Services,Banks—Regional,0.34838,0.39946,-9084943466.495998,0.00653,0.10167,0.049859999999999995,1920353550.336,0.143928,-0.01,1908815831.9999998,669016866.816,25433859686.399998,1.9072799999999996,9695201329.151999,14.442,12601669976.064,-3131936538.6239996,18.953068,-0.021,15.0,,6.5621614,1.8176153,-1.631,0.405563,0.9576,0.8006695199999999,0.9283583879999999,0.8955916559999999,0.021821631,2.56
2885.TW,YUANTA FINANCIAL HOLDING CO. LT,Taiwan,30202670.0,24.75,TWD,Financial Services,Banks—Regional,0.34564,0.46979,-7662824718.3359995,0.01288,0.1351,0.09698399999999999,3405818068.9919996,0.28062,0.394,2698498872.0,1177194700.8,16889322405.887999,1.3915079999999997,18225915494.399998,21.151,10814424219.647999,12888641765.376,9.187082,0.471,14.820359,,3.1752794,1.1701574,3.784,0.672947,1.0008,0.6174,0.8909499959999999,0.8857762199999999,0.047904193,3.56
5880.TW,TAIWAN COOPERATIVE FINANCIAL HL,Taiwan,11969813.0,22.0,TWD,Financial Services,Banks—Regional,0.38272998,0.46273,-11200308314.112,0.00467,0.08108,0.049067999999999994,1747414941.6959999,0.128484,0.232,1595587139.9999998,668792659.9679999,8144892002.303999,0.5988600000000001,11694823833.599998,17.765,10771913244.671999,14564128849.919998,16.140865,0.367,,,6.164485,1.2383901,8.335,0.388963,0.7991999999999999,0.6705882,0.7739529119999999,0.7509514319999999,0.03752252,3.62
2892.TW,FIRST FINANCIAL HOLDING CO LTD,Taiwan,13548353.0,22.5,TWD,Financial Services,Banks—Regional,0.31851,0.37278,-8451058434.047999,0.0054900004,0.085880004,0.052632,2142573576.192,0.165276,0.152,1982798495.9999998,682428948.4799999,8664468553.727999,0.66834,14933246607.359999,17.678,10501002362.88,16769747386.367998,15.389876,0.01,14.33121,,4.9011164,1.2727685,7.827,0.44908,0.825148512,0.70930692,0.8174683079999999,0.798896736,0.039164834,4.85
2880.TW,HUA NAN FINANCIAL HOLDINGS CO,Taiwan,13426355.0,20.5,TWD,Financial Services,Banks—Regional,0.34893,0.39813998,-11737017483.264,0.00535,0.08635,0.044927999999999996,1698855911.4239998,0.128772,0.344,1364498784.0,592783441.92,6831248965.631999,0.517752,12044565872.64,15.133,9486842462.208,14950668828.671999,16.426281,0.797,16.015625,,5.584254,1.3546554,8.8,0.384925,0.7488,0.6015198599999999,0.70862598,0.6657452639999999,0.012554744,3.1
2887.TW,TAISHIN FINANCIAL HLDGS CO LTD,Taiwan,35723288.0,18.2,TWD,Financial Services,Banks—Regional,0.50788,0.32854,-4319124848.639999,0.00892,0.10776,0.058499999999999996,1438425317.376,0.126072,-0.417,1522228536.0,667362631.68,6515645349.888,0.5710679999999999,11415511498.751999,16.668,7475438813.183999,12664733958.144,11.200001,0.852,13.684211,,5.19696,1.0919127,8.805,0.474203,0.6783837119999999,0.427002948,0.6195168,0.530957916,0.028858697,3.73
5876.TW,THE SHANGHAI COMM & SAVINGS BAN,Taiwan,3616113.0,45.35,TWD,Financial Services,Banks—Regional,0.38267,0.59715,-126038624.256,0.0087,0.08936,0.11267999999999999,1316574314.4959998,0.29451599999999994,0.022,1301755968.0,503807127.552,3236911054.8479996,0.724104,6521249267.712,36.234,7298097020.9279995,12431115288.575998,14.488817,0.129,13.031609,,5.543247,1.2515868,9.442,0.392552,1.6722,1.3175999999999999,1.5525500399999999,1.5560056079999998,0.036956523,4.52
2801.TW,CHANG HWA COMMERCIAL BANK LTD,Taiwan,8281683.0,16.4,TWD,Financial Services,Banks—Regional,0.28585,0.32731998,-5407255166.976,0.00301,0.04196,0.023868,876863987.7119999,0.083592,0.071,881312147.9999999,250653560.832,8556186304.511999,0.8157599999999999,6105748340.735999,16.191,6192468983.808,3742014210.048,24.736048,0.267,,,7.062063,1.0129083,4.267,0.310004,0.6522771599999999,0.568514844,0.596903976,0.60280272,0.021317365,2.39
2887F.TW,TAISHIN FINANCIAL HLDGS CO LTD,Taiwan,,50.6,TWD,Financial Services,Banks—Regional,0.50788,0.32854,-4319124848.639999,0.00892,0.10776,0.058499999999999996,1438425317.376,0.126072,-0.417,1522228536.0,667362631.68,6515645349.888,0.5710679999999999,11415511498.751999,16.668,5704212676.608,25972637958.143997,31.13846,0.852,,,3.9655952,3.035757,18.056,0.474203,1.8215999999999999,1.8179999999999998,,,0.010514852,
