symbol,shortName,country,averageVolume,currentPrice,currency,sector,industry,profitMargins,operatingMargins,operatingCashflow,returnOnAssets,returnOnEquity,trailingEps,totalRevenue,revenuePerShare,revenueGrowth,grossProfits,netIncomeToCommon,totalCash,totalCashPerShare,totalDebt,bookValue,marketCap,enterpriseValue,trailingPE,earningsQuarterlyGrowth,forwardPE,pegRatio,priceToSalesTrailing12Months,priceToBook,enterpriseToRevenue,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendYield,fiveYearAvgDividendYield
BNP.VI,BNP PARIBAS SA,France,209,53.82,EUR,Financial Services,Banks—Regional,0.19459,0.27386,96478203920.38399,0.00321,0.07193,6.695752,49427699662.848,39.606716,0.085,46634664000.0,9091804150.784,1397303487234.0479,1118.668852,845253897748.48,91.103,79188451614.72,-467707977662.464,9.468684,0.266,,,1.6021068,0.59075993,-9.462,2.013683,68.47714,34.10899,62.985697452,62.727274879999996,0.020449521,
BNP.PA,BNP PARIBAS ACT.A,France,2932191,53.54,EUR,Financial Services,Banks—Regional,0.19459,0.27386,96478203920.38399,0.00321,0.07193,6.695752,49427699662.848,39.606716,0.085,46634664000.0,9091804150.784,1397303487234.0479,1118.668852,845253897748.48,91.103,78761966911.48799,-467869830414.336,9.419423,0.266,8.762684,,1.5934783,0.5876865,-9.466,2.013683,68.22976,33.91462,62.908145,62.69193488,0.02049483,
INGA.VI,ING GROEP NV,Netherlands,4266,11.862,EUR,Financial Services,Banks—Diversified,0.23617001,0.41182,-48142503698.432,0.00416,0.07462,0.851694,19851655698.432,5.08896,0.361,17691204000.0,4688440000.0,211389749428.224,54.155015999999996,228263410270.20798,14.101,54542934679.551994,72313574555.648,16.40664,3.88,,,2.7475257,0.841217,3.643,2.111672,14.081812,6.793526,13.630702789999999,12.853649226,0.010133423,
INGA.AS,ING GROEP N.V.,Netherlands,13227026,11.698,EUR,Financial Services,Banks—Diversified,0.23617001,0.41182,-48142503698.432,0.00416,0.07462,0.851694,19851655698.432,5.08896,0.361,17691204000.0,4688440000.0,211389749428.224,54.155015999999996,228263410270.20798,14.101,53788840976.383995,72230804996.096,16.179806,3.88,8.665185,,2.7095392,0.82958657,3.639,2.111672,14.098303999999999,6.652166,13.605573694,12.850588781999999,0.010188486,
NDA-FI.HE,Nordea Bank Abp,Finland,3661932,11.062,EUR,Financial Services,Banks—Regional,0.32535,0.41467997,11970835849.216,0.00435,0.07862,0.7433179999999999,9388659849.216,2.330084,0.247,8853848000.0,3022748150.784,126783423627.26399,31.388987999999998,275044143857.664,8.537,52682395222.016,192987577909.248,17.530905,0.713,14.182053,,5.6112795,1.2957715,20.555,1.070757,13.031035999999999,7.307134,12.027838241999998,10.810964241999999,0.03625883,
ACA.VI,CREDIT AGRICOLE SA,France,293,11.714,EUR,Financial Services,Banks—Regional,0.20712,0.3425,32268953321.472,0.0025499999,0.07037,1.127346,23398612869.12,8.025713999999999,,21167482000.0,4702576000.0,1094263024779.2639,355.711236,408444394012.672,22.531,42566612705.28,-631554919104.512,12.240334,,,,1.8191938,0.51990587,-26.991,2.082098,15.848812,7.824276,14.217543516,14.384377765999998,0.067091584,
ACA.PA,CREDIT AGRICOLE,France,5475869,11.66,EUR,Financial Services,Banks—Regional,0.20712,0.3425,32268953321.472,0.0025499999,0.07037,1.127346,23398612869.12,8.025713999999999,,21167482000.0,4702576000.0,1094263024779.2639,355.711236,408444394012.672,22.531,42370386026.495995,-631670875619.328,12.1839075,,8.328571,,1.8108076,0.5175092,-26.996,2.082098,15.891219999999999,7.6734919999999995,14.198892241999998,14.365562749999999,0.0673968,
KBC.VI,KBC GROEP,Belgium,4,72.2,EUR,Financial Services,Banks—Regional,0.23522,0.32016,31062681321.472,0.00471,0.06898,3.9345199999999996,7211715849.216,17.335448,-0.111,7211716000.0,1637420000.0,75633490829.312,181.516842,34481236869.119995,51.671,35405617577.984,-9699116264.448,21.616766,-0.234,,,4.909458,1.397302,-1.345,1.61794,85.73483999999999,48.81632,83.87883621,78.00634717999999,0.006045617,
KBC.BR,KBC,Belgium,454183,71.9,EUR,Financial Services,Banks—Regional,0.29558,0.39051998,61961623281.663994,0.0061299996,0.09536,5.523642,7978594226.176,19.167238,0.479,7211716000.0,2299456000.0,110104126980.096,264.245426,44349342793.728,53.442,35293234040.832,-34645234372.608,15.333759,,12.332762,,4.42349,1.3453838,-4.342,1.629629,86.51231999999999,48.15664,83.82189758,77.91848016,0.0060406374,
GLE.VI,SOCIETE GENERALE SA,France,452,26.095,EUR,Financial Services,Banks—Regional,0.04341,0.19182,,0.00089,0.01967,-1.203916,23932248301.567997,26.018486,0.332,22178206000.0,149606000.0,752853925756.928,885.265822,381905251991.552,72.682,26021089210.368,-339733326659.584,,,,,1.0872815,0.35902974,-14.196,1.929795,32.630599999999994,12.781299999999998,31.34428879,29.058927559999997,0.020868907,
GLE.PA,SOCIETE GENERALE,France,3099976,26.05,EUR,Financial Services,Banks—Regional,0.04341,0.19182,,0.00089,0.01967,0.16256400000000001,23932248301.567997,26.018486,0.332,22178206000.0,149606000.0,752853925756.928,885.265822,381905251991.552,73.986,26095955275.775997,-339693259128.832,188.76811,,5.519068,,1.0904096,0.35209364,-14.194,1.929795,32.65416,12.691771999999998,31.315821242,29.041298789999995,0.020876829,
